μῆνιν|μῆνις
ἀργυρέῃ|ἀργύρεος
κώπῃ|κώπη
σχέθε|ἔχω
χεῖρα|χείρ
βαρεῖαν|βαρύς
κουλεὸν|κολεόν
ὦσε|ὠθέω
ἀπίθησε|ἀπιθέω
Ἀθηναίης|Ἀθήνη
Οὔλυμπον|Ὄλυμπος
βεβήκει|βαίνω
δαίμονας|δαίμων
ἄλλους|ἄλλος
Πηλεΐδης|Πηλείδης
ἐξαῦτις|ἐξαῦτις
ἀταρτηροῖς|ἀταρτηρός
ἐπέεσσιν|ἔπος
λῆγε|λήγω
χόλοιο|χόλος
οἰνοβαρές|οἰνοβαρής
κυνὸς|κύων
ὄμματ̓|ὄμμα
κραδίην|καρδία
ἐλάφοιο|ἔλαφος
πόλεμον|πόλεμος
ἅμα|ἅμα
λαῷ|λαός
θωρηχθῆναι|θωρήσσω
λόχον|λόχος
ἰέναι|εἶμι
ἀριστήεσσιν|ἀριστεύς
τέτληκας|τλάω
κὴρ|κήρ
εἴδεται|εἴδομαι
λώϊόν|λωίων
εὐρὺν|εὐρύς
δῶῤ|δῶρον
ἀποαιρεῖσθαι|ἀφαιρέω
ἀντίον|ἀντίον
εἴπῃ|εἶπον
δημοβόρος|δημοβόρος
οὐτιδανοῖσιν|οὐτιδανός
ὕστατα|ὕστατος
λωβήσαιο|λωβάομαι
μέγαν|μέγας
ὅρκον|ὅρκος
ὀμοῦμαι|ὄμνυμι
ναὶ|ναί
τόδε|ὅδε
φύλλα|φύλλον
ὄζους|ὄζος
φύσει|φυσάω
τομὴν|τομή
ὄρεσσι|ὄρος
λέλοιπεν|λείπω
ἀναθηλήσει|ἀναθηλέω
περὶ|περί
ῥά|ἄρα
ἑ|ἕ
χαλκὸς|χαλκός
ἔλεψε|λέπω
φύλλά|φύλλον
φλοιόν|φλοιός
αὖτέ|αὖτε
παλάμῃς|παλάμη
φορέουσι|φορέω
δικασπόλοι|δικασπόλος
